account_id,name,balance
ACC_000000,User_0,17179.45
ACC_000001,User_1,13580.02
ACC_000002,User_2,13885.98
ACC_000003,User_3,20041.68
ACC_000004,User_4,27687.54
ACC_000005,User_5,37623.36
ACC_000006,User_6,9154.97
ACC_000007,User_7,22300.66
ACC_000008,User_8,3131.69
ACC_000009,User_9,2026.53
ACC_000010,User_10,49868.48
ACC_000011,User_11,49831.89
ACC_000012,User_12,32414.58
ACC_000013,User_13,44041.52
ACC_000014,User_14,28785.76
ACC_000015,User_15,42068.16
ACC_000016,User_16,11054.88
ACC_000017,User_17,3095.75
ACC_000018,User_18,6712.18
ACC_000019,User_19,7224.39
ACC_000020,User_20,38537.6
ACC_000021,User_21,17292.72
ACC_000022,User_22,46481.84
ACC_000023,User_23,14428.9
ACC_000024,User_24,49399.14
ACC_000025,User_25,42491.91
ACC_000026,User_26,39434.88
ACC_000027,User_27,44740.33
ACC_000028,User_28,14363.63
ACC_000029,User_29,41822.2
ACC_000030,User_30,42341.15
ACC_000031,User_31,29548.54
ACC_000032,User_32,22995.26
ACC_000033,User_33,5518.35
ACC_000034,User_34,34009.88
ACC_000035,User_35,45254.82
ACC_000036,User_36,25345.02
ACC_000037,User_37,20810.98
ACC_000038,User_38,11823.54
ACC_000039,User_39,20312.63
ACC_000040,User_40,17398.54
ACC_000041,User_41,3707.62
ACC_000042,User_42,4757.22
ACC_000043,User_43,40732.4
ACC_000044,User_44,14690.98
ACC_000045,User_45,11588.66
ACC_000046,User_46,9997.64
ACC_000047,User_47,42866.56
ACC_000048,User_48,22647.8
ACC_000049,User_49,6683.09
ACC_000050,User_50,19703.56
ACC_000051,User_51,27532.02
ACC_000052,User_52,2781.1
ACC_000053,User_53,25267.1
ACC_000054,User_54,49360.75
ACC_000055,User_55,34429.39
ACC_000056,User_56,38989.31
ACC_000057,User_57,22505.38
ACC_000058,User_58,40966.42
ACC_000059,User_59,48939.39
ACC_000060,User_60,36609.94
ACC_000061,User_61,26162.69
ACC_000062,User_62,26399.84
ACC_000063,User_63,25237.52
ACC_000064,User_64,7609.38
ACC_000065,User_65,7968.95
